YEAR,CC,CC2,KC,CSAVE,XRAT,CG,KG,CI,KI,OPENK,OPENC,POP,PC,PG,P,PI,CGNP,CGDP,statistics
1950,4.42,48.66,46.98,7.14,1.5,16.38,20.39,6.48,5.35,6.13,4.79,569000,19.14,10.69,19.25,29.56,98.19,112.85,min
2000,10.79,75.43,72.67,25.52,8.62,28.76,27.74,23.22,22.63,53.49,48.36,1258821.03,57.89,41.72,62.8,108.58,100.5,3843.67,max
1975,6.19,60.3,60.06,16.65,3.49,23.06,24.6,16.24,14.82,17.46,15.77,913862.31,41.92,26.29,42.93,74.28,99.8,955.51,mean
1975,5.25,58.27,59.49,16.51,2.46,24.27,24.62,16.34,14.87,10.15,9.26,930684.99,48.91,29.23,49.68,87.54,100,386.14,median
221,3.69,62.53,45.42,24.55,4.9,13.55,3.42,20.97,25.04,174.55,157.2,47455059600.47,180.29,111.55,208.56,828.88,0.35,1145975.41,variance
0,1.25,0.46,-0.02,-0.09,1.46,-0.46,-0.33,-0.33,-0.14,1.06,1.04,-0.01,-0.48,-0.1,-0.42,-0.38,-1.86,1.29,skewness
1.8,3.17,1.93,2.06,2.11,3.61,1.85,2.44,1.93,1.85,2.79,2.76,1.66,1.52,1.52,1.5,1.42,5.06,3.44,kurtosis
